Alpha Power,Status
2.5402644148054364e-12,A
6.244930597125246e-12,A
8.065926418788782e-12,A
2.395105712385431e-12,A
3.27698000615729e-12,A
1.039434494650621e-11,A
2.6790808039542917e-12,A
7.497686764891796e-11,A
6.207586291867329e-12,A
2.9614693700595963e-12,A
6.796222936736297e-11,A
1.3241336166579618e-10,A
5.571082978868812e-12,A
2.154878345872603e-11,A
5.478037036542008e-12,A
2.554911664593342e-11,A
3.3466268235049535e-12,A
5.936724192709699e-12,A
2.9252042898600615e-12,A
2.7250049871809573e-12,A
3.154518388927121e-12,A
6.046671413622767e-12,A
4.9372443051988794e-11,A
3.4737109812931585e-12,A
9.30135623172606e-12,A
3.721052912787913e-12,A
8.358491374308134e-12,A
2.9953471323176974e-12,A
1.736819153501694e-11,A
3.8338947746129533e-11,A
1.509325487756414e-11,A
1.8605530032269782e-10,A
4.0276005330406154e-12,A
1.919554151912029e-11,A
2.760524774689196e-12,A
9.286699417074152e-12,A
1.171781754496295e-11,C
4.597413952099023e-12,C
1.906262526439368e-11,C
1.014397584121e-11,C
4.368168243089003e-12,C
7.2533261572909314e-12,C
1.5572631525839052e-11,C
1.0276933142396508e-11,C
2.0850192280900654e-11,C
1.0324119603572486e-11,C
1.2362251639949427e-11,C
2.3951971664693773e-11,C
8.519372373528412e-12,C
4.869867514210757e-12,C
4.26767742839946e-12,C
6.4760323985957474e-12,C
4.478278451745292e-11,C
1.0167312787247669e-11,C
6.555644273744318e-12,C
2.745631117670281e-10,C
5.991911696900448e-12,C
6.927650650583177e-12,C
2.752489453130587e-12,C
2.7293130274549734e-12,C
4.1112308119802625e-12,C
1.100858615567686e-11,C
3.539689096089889e-12,C
2.4486441837602508e-11,C
3.2646369176645582e-12,C
