Subject,Channel,Alpha Power,Beta Power,Theta Power,Delta Power
sub-001,Fp1,3.3851945095413e-12,9.019130783743251e-13,1.8404105405207962e-11,1.195847069879136e-10
sub-001,Fp2,3.795102087756e-12,1.0535434512849133e-12,1.9115630588235416e-11,1.343941471822309e-10
sub-001,F3,2.4941538707340774e-12,6.286869402174994e-13,1.0785983487417262e-11,8.764227197258804e-11
sub-001,F4,2.471508767849488e-12,6.254667770217577e-13,9.91754052882356e-12,8.505734583990496e-11
sub-001,C3,2.0648084769969924e-12,4.942061652743029e-13,8.467927917900328e-12,8.286616221007765e-11
sub-001,C4,2.0929083853349792e-12,4.988293417705145e-13,8.567119634971568e-12,8.284722685077875e-11
sub-001,P3,2.1426971435966145e-12,4.860913652070918e-13,9.077135683948528e-12,8.396968973246263e-11
sub-001,P4,2.279373933313508e-12,5.079174821712849e-13,9.709122131311192e-12,8.498322970504256e-11
sub-001,O1,2.570213496702692e-12,6.471142098931034e-13,1.0378393877982442e-11,8.733389515107356e-11
sub-001,O2,2.5528652470084564e-12,5.993880511139023e-13,1.064288298767567e-11,8.749408638803044e-11
sub-001,F7,2.756762990200447e-12,7.294877197373888e-13,1.2756882075682538e-11,9.421068239341692e-11
sub-001,F8,2.955105507895234e-12,7.172382145441726e-13,1.2455010403342165e-11,9.311249733429504e-11
sub-001,T3,2.347561980714803e-12,6.045118868728099e-13,9.765217485147113e-12,8.520975313766651e-11
sub-001,T4,2.398260308992577e-12,6.448231745734802e-13,9.856922459955042e-12,8.482497168101436e-11
sub-001,T5,2.7390779368428394e-12,7.638822886260964e-13,1.0221163058600516e-11,8.67664594492021e-11
sub-001,T6,2.494236520102788e-12,5.85487572438441e-13,1.0149384031711245e-11,8.659606543997636e-11
sub-001,Fz,2.4105814302290263e-12,5.4361661981848e-13,1.0167829856098662e-11,8.616252969779445e-11
sub-001,Cz,2.0895621205601802e-12,5.037235962611528e-13,8.710198480852433e-12,8.295999612435086e-11
sub-001,Pz,2.2250491669312877e-12,4.825738025382757e-13,9.987770824307357e-12,8.496476526347047e-11
sub-002,Fp1,6.459401581144208e-12,9.009734279002885e-13,1.0773869546282933e-11,9.968801112201563e-11
sub-002,Fp2,6.83666639758808e-12,1.0511315941037842e-12,1.0269856259512861e-11,8.92010345500151e-11
sub-002,F3,4.363176858493249e-12,7.747424254790842e-13,8.784485503181468e-12,7.635528977425126e-11
sub-002,F4,5.267431914974161e-12,8.890096408056925e-13,8.966954049028315e-12,7.617202364155449e-11
sub-002,C3,2.4643058749526472e-12,5.301191040308702e-13,7.878821301425084e-12,7.458809637079599e-11
sub-002,C4,2.4631873608843153e-12,5.336617297196029e-13,8.028056327880788e-12,7.407040085951776e-11
sub-002,P3,6.609400578143155e-12,6.638410927354208e-13,9.416198794173945e-12,7.583889179265217e-11
sub-002,P4,6.0292953944703416e-12,6.395509534962945e-13,9.20715164905817e-12,7.580627909614011e-11
sub-002,O1,1.168833336415872e-11,7.586676516250141e-13,1.0585494968792798e-11,7.692104080479267e-11
sub-002,O2,1.0376924106612057e-11,7.234922835689485e-13,1.0355164783904918e-11,7.635825034646667e-11
sub-002,F7,5.946118016067792e-12,9.878615924350002e-13,1.0882101238031458e-11,7.771800572148183e-11
sub-002,F8,5.076352323724743e-12,8.781521256311873e-13,1.0017897446163694e-11,7.661253731801594e-11
sub-002,T3,5.60997440284511e-12,9.289642967780297e-13,1.0525123814849412e-11,7.776748907498069e-11
sub-002,T4,4.059717902391434e-12,8.756628774388645e-13,9.472139437629016e-12,7.620237851641334e-11
sub-002,T5,1.0090903008246088e-11,8.085043290202394e-13,1.1372434787720347e-11,7.754566349240772e-11
sub-002,T6,1.0268119096978941e-11,7.643752207490636e-13,1.1028665017605906e-11,7.697908170964504e-11
sub-002,Fz,5.39713294543579e-12,7.07911192312809e-13,8.88200258897202e-12,7.62822801295265e-11
sub-002,Cz,3.2175179243948804e-12,6.041876677371363e-13,8.136745124267937e-12,7.508872688929797e-11
sub-002,Pz,6.429722293873958e-12,6.777363455391119e-13,9.373771774597802e-12,7.551420461863214e-11
sub-003,Fp1,8.012573734443742e-12,5.886790272066123e-13,1.4406115623394379e-11,6.863200567506993e-11
sub-003,Fp2,7.546298110034536e-12,5.845876074013941e-13,1.4710216827362223e-11,6.953000801264259e-11
sub-003,F3,5.6628161315578476e-12,5.697486510201073e-13,1.1672356388492698e-11,6.684194526160747e-11
sub-003,F4,4.720439628459017e-12,5.479687983333719e-13,1.1906894457681275e-11,6.609524608132119e-11
sub-003,C3,4.032171958274103e-12,5.12747489571102e-13,9.20078928084825e-12,6.230578055912412e-11
sub-003,C4,4.0478025115192086e-12,5.012855556665663e-13,9.31608243894882e-12,6.210760313897755e-11
sub-003,P3,6.812358276988226e-12,6.048602089124938e-13,1.2654498262535076e-11,6.613412394936116e-11
sub-003,P4,1.0396993831198985e-11,6.043683460268146e-13,1.1805773595221305e-11,6.474970780858788e-11
sub-003,O1,1.1083306578197548e-11,6.498609494397143e-13,1.6726755302383228e-11,7.036947832048986e-11
sub-003,O2,1.293307448370483e-11,6.900412052725496e-13,1.5639350349013476e-11,6.81993309801624e-11
sub-003,F7,7.814167601871191e-12,6.085187549964827e-13,1.4218391566445935e-11,6.959645228543175e-11
