Alpha Power,Beta Power,Theta Power,Delta Power,Status
2.5402644148054364e-12,6.325527230388943e-13,1.1007169522061631e-11,9.057792013375212e-11,A
6.244930597125246e-12,7.736076605845495e-13,9.681943916477835e-12,7.814261504361069e-11,A
8.065926418788782e-12,5.877514930845137e-13,1.3407339915824338e-11,6.687445623572109e-11,A
2.395105712385431e-12,8.740282531068775e-13,1.0717753384871589e-11,9.373720931480089e-11,A
3.27698000615729e-12,9.141803383127254e-13,1.1403719671644392e-11,1.0460463729833405e-10,A
1.039434494650621e-11,9.677973444510405e-13,8.547205463715355e-12,8.662425161018725e-11,A
2.6790808039542917e-12,6.468689911435026e-13,1.1092686880080236e-11,8.936914332317259e-11,A
7.497686764891796e-11,1.2627380380462688e-11,4.4342855073718025e-10,2.534170909934671e-09,A
6.207586291867329e-12,9.566750237623028e-13,1.0053843715544067e-11,8.947051752495782e-11,A
2.9614693700595963e-12,6.881241463387309e-13,7.495871062900214e-12,7.551877836749947e-11,A
6.796222936736297e-11,2.3487247037142534e-11,1.2719458011159973e-10,4.630923444798334e-10,A
1.3241336166579618e-10,4.36799224002599e-11,3.353448902828325e-10,2.521540795058874e-09,A
5.571082978868812e-12,9.541270426546008e-13,2.2518470918721536e-11,1.8328889250568363e-10,A
2.154878345872603e-11,6.856246582057277e-12,6.490987856925896e-11,3.779715447414503e-10,A
5.478037036542008e-12,6.906073130599257e-13,9.858937424580122e-12,9.707003578230439e-11,A
2.554911664593342e-11,9.54730815843132e-12,8.945381237080448e-11,5.270154045966209e-10,A
3.3466268235049535e-12,6.974618535368551e-13,1.3584506438296563e-11,1.3087702158416573e-10,A
5.936724192709699e-12,1.2818571890573294e-12,1.5804127394846268e-11,1.0773895060381801e-10,A
2.9252042898600615e-12,8.662307504513132e-13,8.809586975727366e-12,8.840074247100534e-11,A
2.7250049871809573e-12,6.75781134655584e-13,1.039902792668836e-11,1.0803681033781505e-10,A
3.154518388927121e-12,9.174448781985834e-13,1.0615487760747683e-11,1.0407898098122215e-10,A
6.046671413622767e-12,1.3587913303355693e-12,2.080915304430869e-11,1.2150799009284104e-10,A
4.9372443051988794e-11,1.2603203481302206e-11,1.8816171945399714e-10,7.895533724238455e-10,A
3.4737109812931585e-12,6.910636686020153e-13,1.420431287324436e-11,9.801058804089437e-11,A
9.30135623172606e-12,1.385703816748135e-12,1.2239665399228598e-11,1.2768798758834525e-10,A
3.721052912787913e-12,2.680363083996885e-12,1.4160267933658033e-11,1.1322884366412874e-10,A
8.358491374308134e-12,2.6183298030494103e-12,3.014672148612977e-11,1.8881451391892506e-10,A
2.9953471323176974e-12,6.233448328703484e-13,1.2766212333556809e-11,8.931014947398593e-11,A
1.736819153501694e-11,4.31950575351614e-12,1.0812993740349524e-10,1.905406737166301e-09,A
3.8338947746129533e-11,1.1132060030059796e-11,1.2827777128129187e-10,9.430493419519187e-10,A
1.509325487756414e-11,3.909541477042125e-12,4.2902046274463885e-11,3.5167694742029595e-10,A
1.8605530032269782e-10,6.892568004650964e-11,2.9147033158716174e-10,7.17760459392595e-10,A
4.0276005330406154e-12,1.2134083648399252e-12,9.562963480957779e-12,8.334477458347421e-11,A
1.919554151912029e-11,3.0935332312120475e-12,7.377514611415624e-11,7.253435894191235e-10,A
2.760524774689196e-12,6.679616057470371e-13,1.0155447099476906e-11,8.812365447441948e-11,A
9.286699417074152e-12,1.8370995521129344e-12,1.0971763795518402e-11,8.296292650322344e-11,A
1.171781754496295e-11,1.0001817309709811e-12,1.6855395372782027e-11,1.221824233408451e-10,C
4.597413952099023e-12,1.0494330279976927e-12,1.067806086788182e-11,1.1383724261392453e-10,C
1.906262526439368e-11,1.246717697753954e-12,1.2293113820823414e-11,1.247265309698643e-10,C
1.014397584121e-11,1.3042860817522934e-12,2.987681277579891e-11,2.355335276635712e-10,C
4.368168243089003e-12,1.1130820258031551e-12,8.51368080037232e-12,9.070035153606122e-11,C
7.2533261572909314e-12,1.109877961157242e-12,9.40503054207168e-12,9.280986810288266e-11,C
1.5572631525839052e-11,3.4242131995371567e-12,5.507096811039783e-11,3.20122148431514e-10,C
1.0276933142396508e-11,8.936964846037285e-13,9.973981470207638e-12,9.717322470366441e-11,C
2.0850192280900654e-11,5.422120708241441e-12,6.652270008401268e-11,3.610758556015628e-10,C
1.0324119603572486e-11,1.7587256180607855e-12,1.4649081510474128e-11,1.1228466168026824e-10,C
1.2362251639949427e-11,2.1364233882743386e-12,2.460361719604034e-11,1.6148889740050954e-10,C
2.3951971664693773e-11,4.369855011792026e-12,9.049689306880302e-11,5.416324803533966e-10,C
8.519372373528412e-12,9.31171341301243e-13,9.359721783309086e-12,8.940060398347923e-11,C
