Theta Power,Status
1.1007169522061631e-11,A
9.681943916477835e-12,A
1.3407339915824338e-11,A
1.0717753384871589e-11,A
1.1403719671644392e-11,A
8.547205463715355e-12,A
1.1092686880080236e-11,A
4.4342855073718025e-10,A
1.0053843715544067e-11,A
7.495871062900214e-12,A
1.2719458011159973e-10,A
3.353448902828325e-10,A
2.2518470918721536e-11,A
6.490987856925896e-11,A
9.858937424580122e-12,A
8.945381237080448e-11,A
1.3584506438296563e-11,A
1.5804127394846268e-11,A
8.809586975727366e-12,A
1.039902792668836e-11,A
1.0615487760747683e-11,A
2.080915304430869e-11,A
1.8816171945399714e-10,A
1.420431287324436e-11,A
1.2239665399228598e-11,A
1.4160267933658033e-11,A
3.014672148612977e-11,A
1.2766212333556809e-11,A
1.0812993740349524e-10,A
1.2827777128129187e-10,A
4.2902046274463885e-11,A
2.9147033158716174e-10,A
9.562963480957779e-12,A
7.377514611415624e-11,A
1.0155447099476906e-11,A
1.0971763795518402e-11,A
1.6855395372782027e-11,C
1.067806086788182e-11,C
1.2293113820823414e-11,C
2.987681277579891e-11,C
8.51368080037232e-12,C
9.40503054207168e-12,C
5.507096811039783e-11,C
9.973981470207638e-12,C
6.652270008401268e-11,C
1.4649081510474128e-11,C
2.460361719604034e-11,C
9.049689306880302e-11,C
9.359721783309086e-12,C
1.0979472226787972e-11,C
1.002801166235644e-11,C
1.0145638647147102e-11,C
1.373978031432266e-10,C
1.1721789209120942e-11,C
9.907707871519145e-12,C
7.2944385922712e-10,C
9.606145237859676e-12,C
9.164745301967837e-12,C
9.23859333803548e-12,C
9.20426035248671e-12,C
9.685405676968502e-12,C
9.963012909258075e-12,C
9.436511713827157e-12,C
1.2439998249950337e-11,C
9.145134217966976e-12,C
