Subject,Channel,Alpha Power,Theta Power,Delta Power,Beta Power
sub-001,Fp1,3.3851945095413e-12,1.8404105405207962e-11,1.1958470698791357e-10,9.019130783743251e-13
sub-001,Fp2,3.795102087756e-12,1.9115630588235416e-11,1.343941471822309e-10,1.0535434512849133e-12
sub-001,F3,2.4941538707340774e-12,1.0785983487417263e-11,8.764227197258804e-11,6.286869402174994e-13
sub-001,F4,2.471508767849489e-12,9.917540528823558e-12,8.505734583990499e-11,6.254667770217577e-13
sub-001,C3,2.0648084769969932e-12,8.467927917900328e-12,8.286616221007765e-11,4.942061652743029e-13
sub-001,C4,2.0929083853349792e-12,8.567119634971568e-12,8.284722685077875e-11,4.988293417705145e-13
sub-001,P3,2.1426971435966145e-12,9.077135683948528e-12,8.396968973246263e-11,4.860913652070919e-13
sub-001,P4,2.279373933313508e-12,9.709122131311192e-12,8.498322970504256e-11,5.079174821712849e-13
sub-001,O1,2.570213496702692e-12,1.0378393877982442e-11,8.733389515107354e-11,6.471142098931035e-13
sub-001,O2,2.552865247008456e-12,1.064288298767567e-11,8.749408638803046e-11,5.993880511139023e-13
sub-001,F7,2.756762990200447e-12,1.2756882075682538e-11,9.421068239341692e-11,7.29487719737389e-13
sub-001,F8,2.955105507895234e-12,1.2455010403342165e-11,9.311249733429502e-11,7.172382145441727e-13
sub-001,T3,2.347561980714803e-12,9.765217485147113e-12,8.520975313766653e-11,6.045118868728099e-13
sub-001,T4,2.3982603089925774e-12,9.856922459955042e-12,8.482497168101436e-11,6.448231745734802e-13
sub-001,T5,2.7390779368428394e-12,1.0221163058600516e-11,8.67664594492021e-11,7.638822886260967e-13
sub-001,T6,2.494236520102788e-12,1.0149384031711245e-11,8.659606543997636e-11,5.85487572438441e-13
sub-001,Fz,2.4105814302290263e-12,1.0167829856098662e-11,8.616252969779445e-11,5.4361661981848e-13
sub-001,Cz,2.0895621205601802e-12,8.710198480852433e-12,8.295999612435085e-11,5.037235962611527e-13
sub-001,Pz,2.2250491669312873e-12,9.987770824307358e-12,8.496476526347048e-11,4.825738025382758e-13
sub-037,Fp1,9.656570235650444e-12,1.6860314879537547e-11,1.2135687035980446e-10,1.1087346522069887e-12
sub-037,Fp2,9.464307189415617e-12,1.6315965964004886e-11,1.2296353623797703e-10,1.0815275401181098e-12
sub-037,F3,6.570600765366987e-12,1.51113654025403e-11,1.0968824876710194e-10,1.0162091519684492e-12
sub-037,F4,7.422719031750198e-12,1.5475647731725536e-11,1.1159095473283564e-10,9.537292171855714e-13
sub-037,C3,4.469619121465252e-12,1.3633415988293123e-11,1.0678413171957367e-10,7.447808334542355e-13
sub-037,C4,4.654672497577173e-12,1.4590570431952712e-11,1.0761581531405845e-10,8.116564215025953e-13
sub-037,P3,1.6692775196122583e-11,1.7112764192636644e-11,1.1052521790384863e-10,9.028901376488085e-13
sub-037,P4,1.050534657389248e-11,1.603257737659216e-11,1.093081832715137e-10,9.118887340480922e-13
sub-037,O1,2.9740936548355324e-11,1.9925787900980026e-11,1.0697413767724007e-10,1.0359995597069622e-12
sub-037,O2,2.5542139018341528e-11,1.8935923388135523e-11,1.0934268241262561e-10,1.0504121352885779e-12
sub-037,F7,8.67693794973853e-12,1.770577681698392e-11,1.168604089329756e-10,1.378704792313206e-12
sub-037,F8,9.144891925128552e-12,1.6473896274177308e-11,1.14014111081519e-10,1.057496472453992e-12
sub-037,T3,7.262277762499889e-12,1.6695131359487678e-11,1.1144734286995754e-10,1.0761033534923262e-12
sub-037,T4,6.8510703108565525e-12,1.5873604363199412e-11,1.1182101847467767e-10,1.0237012028079155e-12
sub-037,T5,2.211139655427166e-11,2.7609861219892556e-11,3.214403054692472e-10,1.4089196969549836e-12
sub-037,T6,1.4460556044889406e-11,1.7747050915983986e-11,1.0935184011898807e-10,1.084123232892997e-12
sub-037,Fz,7.452262309819071e-12,1.5205664108951554e-11,1.0964779585159794e-10,9.038952799841419e-13
sub-037,Cz,5.14784243119016e-12,1.3793452930787677e-11,1.0673375771315606e-10,7.573149810561136e-13
sub-037,Pz,1.6811611887964636e-11,1.515374083699599e-11,1.0399968456735796e-10,6.953654933645737e-13
