Subject,Group,Channel,Delta Power,Theta Power,Alpha Power,Beta Power
sub-001,Alzheimer's Disease,Fp1,1.195847069879136e-10,1.8404105405207965e-11,3.3851945095413004e-12,9.019130783743251e-13
sub-001,Alzheimer's Disease,Fp2,1.343941471822309e-10,1.9115630588235416e-11,3.795102087756e-12,1.0535434512849133e-12
sub-001,Alzheimer's Disease,F3,8.764227197258804e-11,1.0785983487417263e-11,2.4941538707340778e-12,6.286869402174994e-13
sub-001,Alzheimer's Disease,F4,8.505734583990499e-11,9.917540528823558e-12,2.471508767849489e-12,6.254667770217577e-13
sub-001,Alzheimer's Disease,C3,8.286616221007765e-11,8.467927917900328e-12,2.0648084769969932e-12,4.942061652743028e-13
sub-001,Alzheimer's Disease,C4,8.284722685077875e-11,8.567119634971568e-12,2.0929083853349792e-12,4.988293417705145e-13
sub-001,Alzheimer's Disease,P3,8.396968973246263e-11,9.077135683948528e-12,2.1426971435966145e-12,4.860913652070918e-13
sub-001,Alzheimer's Disease,P4,8.498322970504256e-11,9.709122131311192e-12,2.279373933313508e-12,5.079174821712849e-13
sub-001,Alzheimer's Disease,O1,8.733389515107354e-11,1.0378393877982442e-11,2.570213496702692e-12,6.471142098931034e-13
sub-001,Alzheimer's Disease,O2,8.749408638803044e-11,1.0642882987675671e-11,2.552865247008456e-12,5.993880511139023e-13
sub-001,Alzheimer's Disease,F7,9.421068239341692e-11,1.2756882075682538e-11,2.756762990200447e-12,7.294877197373889e-13
sub-001,Alzheimer's Disease,F8,9.311249733429504e-11,1.2455010403342168e-11,2.955105507895234e-12,7.172382145441726e-13
sub-001,Alzheimer's Disease,T3,8.520975313766653e-11,9.765217485147113e-12,2.3475619807148035e-12,6.045118868728099e-13
sub-001,Alzheimer's Disease,T4,8.482497168101435e-11,9.856922459955042e-12,2.3982603089925774e-12,6.448231745734801e-13
sub-001,Alzheimer's Disease,T5,8.67664594492021e-11,1.0221163058600516e-11,2.739077936842839e-12,7.638822886260967e-13
sub-001,Alzheimer's Disease,T6,8.659606543997636e-11,1.0149384031711245e-11,2.4942365201027875e-12,5.854875724384408e-13
