Subject,Group,Channel,Delta Power,Theta Power,Alpha Power,Beta Power
sub-001,Alzheimer's Disease,Fp1,2.8064840885029557e-10,4.889977737692447e-11,1.292958275275651e-11,1.4845189665502217e-11
sub-001,Alzheimer's Disease,Fp2,2.7758115762581683e-10,4.70268087797718e-11,1.2706297481875076e-11,1.2334163315275131e-11
sub-001,Alzheimer's Disease,F3,2.656053682847801e-10,3.8866387138162794e-11,1.0779306720330944e-11,9.495362643783172e-12
sub-001,Alzheimer's Disease,F4,2.6401680825322175e-10,3.8956620813896435e-11,1.154789247549143e-11,1.0264524296236338e-11
sub-001,Alzheimer's Disease,C3,2.596802550182639e-10,3.4553374797502466e-11,9.877671312089728e-12,8.537021644668391e-12
sub-001,Alzheimer's Disease,C4,2.5723524591205053e-10,3.386369199228555e-11,9.909223740634377e-12,8.584057844245935e-12
sub-001,Alzheimer's Disease,P3,2.623090513920168e-10,3.7353596198073736e-11,1.0293933601777328e-11,8.515601402983814e-12
sub-001,Alzheimer's Disease,P4,2.6365683435952115e-10,3.8833252491347727e-11,1.0833426307084241e-11,8.755359321279194e-12
sub-001,Alzheimer's Disease,O1,2.7341761700911314e-10,4.311403864859032e-11,1.2304946951092134e-11,1.1550028570670578e-11
sub-001,Alzheimer's Disease,O2,2.7113809244653217e-10,4.366537674407669e-11,1.251342596786866e-11,1.0582276824717488e-11
sub-001,Alzheimer's Disease,F7,2.660314700999757e-10,4.307792538873217e-11,1.1147104692263823e-11,9.733899275187128e-12
sub-001,Alzheimer's Disease,F8,2.71422146602666e-10,4.782966441181151e-11,1.3090648091725675e-11,1.1946426408932841e-11
sub-001,Alzheimer's Disease,T3,2.654819951396883e-10,3.892408417777119e-11,1.1054471657988283e-11,1.0144908666579868e-11
sub-001,Alzheimer's Disease,T4,2.6059772628923125e-10,3.916898086492512e-11,1.0851510231242046e-11,1.0649959958208347e-11
sub-001,Alzheimer's Disease,T5,2.6959156006743664e-10,4.2291516036532606e-11,1.3090912172075333e-11,1.3567867862146459e-11
sub-001,Alzheimer's Disease,T6,2.68089941094522e-10,4.078550506414265e-11,1.1973383731193908e-11,1.0103620609855497e-11
sub-001,Alzheimer's Disease,Fz,2.6722024650849536e-10,3.847601723364602e-11,1.1066573779191089e-11,9.193910227354984e-12
sub-001,Alzheimer's Disease,Cz,2.6083302578858964e-10,3.5004948461678434e-11,1.0088794603759768e-11,8.805545701567395e-12
sub-001,Alzheimer's Disease,Pz,2.6538277034387873e-10,4.031282471615846e-11,1.0703360179032332e-11,8.419455158881713e-12
sub-002,Alzheimer's Disease,Fp1,2.342318917749903e-10,3.616640612894993e-11,2.348026230367495e-11,1.3115712596779008e-11
sub-002,Alzheimer's Disease,Fp2,2.411454195989738e-10,3.746722341645276e-11,2.5313929772087467e-11,1.1224252428374796e-11
sub-002,Alzheimer's Disease,F3,2.3781863443259156e-10,3.441420201390879e-11,1.8896815275578356e-11,1.2963292134300114e-11
sub-002,Alzheimer's Disease,F4,2.414553285405869e-10,3.596429605060819e-11,2.2320827271117337e-11,1.424033712214409e-11
sub-002,Alzheimer's Disease,C3,2.3822909326137607e-10,3.215411424511261e-11,1.2405743299759668e-11,8.66991699261427e-12
sub-002,Alzheimer's Disease,C4,2.396760499293249e-10,3.26520210712927e-11,1.153576316999052e-11,8.699164879045525e-12
sub-002,Alzheimer's Disease,P3,2.421508192716114e-10,3.9504077827345455e-11,3.2088854227446893e-11,1.0897233011657866e-11
sub-002,Alzheimer's Disease,P4,2.4355294492920713e-10,3.82106356928083e-11,2.910220783047752e-11,1.0215138158456105e-11
sub-002,Alzheimer's Disease,O1,2.4517273174766974e-10,4.578331698076573e-11,5.540503411244359e-11,1.2156071964724756e-11
sub-002,Alzheimer's Disease,O2,2.442993067229166e-10,4.42980699066996e-11,4.951063169660688e-11,1.1525976983960369e-11
sub-002,Alzheimer's Disease,F7,2.4594641515133985e-10,4.322238473530863e-11,2.8305315704816502e-11,1.3670029151816316e-11
sub-002,Alzheimer's Disease,F8,2.4713323719989205e-10,4.0756400310275564e-11,2.359140187080981e-11,1.2254720490877304e-11
